Order Date,Order ID,Payment Instrument Type,Website,Purchase Order Number,Ordering Customer Email,Shipment Date,Shipping Address Name,Shipping Address Street 1,Shipping Address Street 2,Shipping Address City,Shipping Address State,Shipping Address Zip,Order Status,Carrier Name & Tracking Number,Subtotal,Shipping Charge,Tax Before Promotions,Total Promotions,Tax Charged,Total Charged,Buyer Name,Group Name
7/3/2019,112-0000000-0000037,Visa - 0001,Amazon.com,,your_email@gmail.com,7/8/2019,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$25.62 ,$0.00 ,$0.85 ,$0.00 ,$0.85 ,$26.47 ,Your Name,
7/3/2019,112-0000000-0000038,Visa - 0001,Amazon.com,,your_email@gmail.com,7/5/2019,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$0.52 ,$4.95 ,$0.00 ,$0.00 ,$0.00 ,$5.47 ,Your Name,
7/3/2019,112-0000000-0000039,Visa - 0001,Amazon.com,,your_email@gmail.com,7/4/2019,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$5.43 ,$3.99 ,$0.00 ,$0.00 ,$0.00 ,$9.42 ,Your Name,
7/6/2019,112-0000000-0000040,Visa - 5555,Amazon.com,,your_email@gmail.com,7/7/2019,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$12.99 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$12.99 ,Your Name,
7/6/2019,112-0000000-0000041,Visa - 5555,Amazon.com,,your_email@gmail.com,7/8/2019,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$102.47 ,$0.00 ,$4.95 ,$0.00 ,$4.95 ,$107.42 ,Your Name,
7/6/2019,112-0000000-0000042,Visa - 5555,Amazon.com,,your_email@gmail.com,7/7/2019,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,UPS(0002),$79.97 ,$0.00 ,$0.00 ,$10.00 ,$0.00 ,$69.97 ,Your Name,
7/6/2019,112-0000000-0000043,Visa - 5555,Amazon.com,,your_email@gmail.com,7/8/2019,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$49.99 ,$0.00 ,$0.00 ,$4.00 ,$0.00 ,$45.99 ,Your Name,
7/6/2019,112-0000000-0000044,Visa - 0001,Amazon.com,,your_email@gmail.com,7/7/2019,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$199.99 ,$0.00 ,$11.00 ,$0.00 ,$11.00 ,$210.99 ,Your Name,
7/7/2019,112-0000000-0000045,Visa - 0001,Amazon.com,,your_email@gmail.com,7/8/2019,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,UPS(0002),$41.97 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$41.97 ,Your Name,
7/9/2019,112-0000000-0000046,Visa - 0001,Amazon.com,,your_email@gmail.com,7/9/2019,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$15.60 ,$0.00 ,$0.86 ,$0.00 ,$0.86 ,$16.46 ,Your Name,
7/17/2019,112-0000000-0000047,Visa - 0001,Amazon.com,,your_email@gmail.com,7/18/2019,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$36.49 ,$0.00 ,$2.01 ,$0.00 ,$2.01 ,$38.50 ,Your Name,
7/18/2019,112-0000000-0000048,Visa - 0001,Amazon.com,,your_email@gmail.com,7/19/2019,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,UPS(0002),$15.95 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$15.95 ,Your Name,
7/18/2019,112-0000000-0000049,Visa - 0001,Amazon.com,,your_email@gmail.com,7/18/2019,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$99.63 ,$0.00 ,$3.34 ,$0.00 ,$3.34 ,$102.97 ,Your Name,
7/18/2019,112-0000000-0000050,Visa - 0001,Amazon.com,,your_email@gmail.com,7/18/2019,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$12.78 ,$0.00 ,$0.70 ,$0.00 ,$0.70 ,$13.48 ,Your Name,
7/18/2019,112-0000000-0000051,Visa - 0001,Amazon.com,,your_email@gmail.com,7/18/2019,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$12.78 ,$0.00 ,$0.70 ,$0.00 ,$0.70 ,$13.48 ,Your Name,
7/21/2019,112-0000000-0000052,Visa - 0001,Amazon.com,,your_email@gmail.com,7/21/2019,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$6.49 ,$0.00 ,$0.36 ,$0.00 ,$0.36 ,$6.85 ,Your Name,
7/21/2019,112-0000000-0000053,Visa - 0001,Amazon.com,,your_email@gmail.com,7/22/2019,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$5.76 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$5.76 ,Your Name,
7/23/2019,112-0000000-0000054,Visa - 0001,Amazon.com,,your_email@gmail.com,7/23/2019,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,UPS(0002),$42.93 ,$0.00 ,$2.36 ,$0.00 ,$2.36 ,$45.29 ,Your Name,
7/30/2019,112-0000000-0000055,Visa - 0001,Amazon.com,,your_email@gmail.com,7/31/2019,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$49.99 ,$0.00 ,$0.00 ,$15.00 ,$0.00 ,$34.99 ,Your Name,
7/30/2019,112-0000000-0000056,Visa - 0001,Amazon.com,,your_email@gmail.com,8/1/2019,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$6.30 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$6.30 ,Your Name,
7/30/2019,112-0000000-0000057,Visa - 0001,Amazon.com,,your_email@gmail.com,8/1/2019,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$5.99 ,$0.00 ,$0.05 ,$5.00 ,$0.05 ,$1.04 ,Your Name,
7/31/2019,112-0000000-0000058,Visa - 0001,Amazon.com,,your_email@gmail.com,7/31/2019,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,UPS(0002),$35.99 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$35.99 ,Your Name,
7/31/2019,112-0000000-0000059,Visa - 0001,Amazon.com,,your_email@gmail.com,8/1/2019,Your Friend,5 FRIEND STREET APT. 1,,WASHINGTON,DC,20001-5497,Shipped,UPS(0002),$54.88 ,$0.00 ,$3.29 ,$0.00 ,$3.29 ,$58.17 ,Your Name,
